lead_id,company_legal_name,suggested_domain_UNVERIFIED,method
T9-0586,"SoFi Technologies, Inc.",sofi.com,clearbit_shortname
T9-0590,VERISIGN INC/CA,verisign.com,clearbit_shortname
T9-0591,AerCap Holdings N.V.,aercap.com,clearbit_shortname
T9-0600,"FedEx Freight Holding Company, Inc.",fedex.com,clearbit_shortname
T9-0601,Tradeweb Markets Inc.,tradeweb.com,clearbit_shortname
T9-0606,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,expeditors.com,clearbit_shortname
T9-0619,LENNAR CORP /NEW/,lennar.com,clearbit_shortname
T9-0621,TELEFONICA BRASIL S.A.,telefonica.com,clearbit_shortname
T9-0631,Bunge Global SA,bunge.com,clearbit_shortname
T9-0644,COGNIZANT TECHNOLOGY SOLUTIONS CORP,cognizant.com,clearbit_shortname
T9-0648,TELENOR ASA,telenor.no,clearbit_shortname
T9-0659,"DuPont de Nemours, Inc.",dupont.com,clearbit_shortname
T9-0675,Ascendis Pharma A/S,ascendis.ro,clearbit_shortname
T9-0679,CEMEX SAB DE CV,cemex.com,clearbit_shortname
T9-0686,GENMAB A/S,genmab.com,clearbit_shortname
T9-0693,LyondellBasell Industries N.V.,lyondellbasell.com,clearbit_shortname
T9-0706,Stellantis N.V.,stellantis.com,clearbit_shortname
T9-0711,MASCO CORP /DE/,masco.com,clearbit_shortname
T9-0714,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",broadridge.com,clearbit_shortname
T9-0715,IDEX CORP /DE/,idexcorp.com,clearbit_shortname
T9-0718,SOMNIGROUP INTERNATIONAL INC.,somnigroup.com,clearbit_shortname
T9-0736,PLAINS ALL AMERICAN PIPELINE LP,3plains.com,clearbit_shortname
T9-0741,MILLICOM INTERNATIONAL CELLULAR SA,millicom.com,clearbit_shortname
T9-0742,DiDi Global Inc.,didiglobal.com,clearbit_shortname
T9-0756,"BridgeBio Pharma, Inc.",bridgebiopharma.co,clearbit_shortname
T9-0761,"HEALTHPEAK PROPERTIES, INC.",healthpeak.com,clearbit_shortname
T9-0771,Sprott Physical Gold Trust,sprott.com,clearbit_shortname
T9-0779,"Viper Energy, Inc.",directed.com,clearbit_shortname
T9-0793,"Forgent Power Solutions, Inc.",forgents.com,clearbit_shortname
T9-0804,Ally Financial Inc.,ally.com,clearbit_shortname
T9-0809,HORMEL FOODS CORP /DE/,hormel.com.cn,clearbit_shortname
T9-0811,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,cahayacipta.com,clearbit_shortname
T9-0820,LOGITECH INTERNATIONAL S.A.,logitech.com,clearbit_shortname
T9-0822,lululemon athletica inc.,lululemon.com,clearbit_shortname
T9-0834,U-Haul Holding Co /NV/,uhaul.com,clearbit_shortname
T9-0857,Solstice Advanced Materials Inc.,solstice.us,clearbit_shortname
T9-0861,Fresenius Medical Care AG,fresenius.com,clearbit_shortname
T9-0871,Elanco Animal Health Inc,elanco.com,clearbit_shortname
T9-0883,Sprott Physical Silver Trust,sprott.com,clearbit_shortname
T9-0914,CLOROX CO /DE/,clorox.com,clearbit_shortname
T9-0915,AKZO NOBEL NV,agenciaakzo.com.br,clearbit_shortname
T9-0919,"Compass Sub North, Inc.",compass.com,clearbit_shortname
T9-0923,Paramount Skydance Corp,paramount.com,clearbit_shortname
